date,value
20220804,4803.14
20220803,4768.94
20220802,4739.35
20220801,4805.63
20220729,4795.55
20220728,4739.32
20220727,4630.36
20220726,4637.8
20220725,4664.99
20220722,4655.66
20220721,4709.9
20220720,4657.28
20220719,4634.33
20220718,4579.01
20220715,4532.96
20220714,4461.43
20220713,4524.03
20220712,4584.66
20220711,4554.58
20220708,4623.68
20220707,4597.47
20220706,4484.69
20220705,4455.51
20220701,4546.2
20220630,4494.88
20220629,4590.98
20220628,4656.63
20220627,4627.68
20220624,4477.13
20220623,4477.13
20220622,4612.84
20220621,4683.57
20220617,4655.8
20220616,4533.63
20220615,4668.16
20220614,4608.02
20220613,4608.63
20220610,4738.25
20220609,4852.57
20220608,4909.76
20220607,4910.77
20220606,4931.66
20220603,4868.52
20220602,4856.33
20220601,4822.01
20220531,4859.16
20220527,4950.98
20220526,4858.2
20220525,4858.2
20220524,4789.55
20220523,4816.25
20220520,4752.01
20220519,4712.29
20220518,4772.82
20220517,4828.05
20220516,4756.85
20220513,4746.7
20220512,4652.36
20220511,4663.76
20220510,4575.9
20220509,4546.59
20220506,4708.14
20220505,4755.71
20220504,4818.14
20220503,4870.98
20220502,4810.55
20220429,4882.68
20220428,4870.3
20220427,4920.77
20220426,4841.21
20220425,4830.48
20220422,4954.64
20220421,5037.13
20220420,4972.63
20220419,4920.59
20220418,4906.02
20220414,4906.02
20220413,4882.07
20220412,4885.69
20220411,4879.1
20220408,4951.14
20220407,4850.07
20220406,4871.51
20220405,4931.78
20220404,4921.72
20220401,4914.85
20220331,4865.29
20220330,4913.29
20220329,4960.59
20220328,4836.85
20220325,4794
20220324,4852.59
20220323,4895.43
20220322,4961.06
20220321,4945.74
20220318,4925.01
20220317,4924.32
20220316,4943.91
20220315,4780.22
20220314,4856.77
20220311,4674.59
20220310,4585.14
20220309,4569.91
20220308,4390.94
20220307,4336.46
20220304,4384.97
20220303,4580.79
20220302,4720.22
20220301,4665.85
20220228,4891.77
20220225,4951.46
20220224,4779.1
20220223,4969.67
20220222,4994.17
20220218,5054.32
20220217,5151.89
20220216,5229.53
20220215,5209.26
20220214,5146.87
20220211,5269.73
20220210,5297.14
20220209,5339.26
20220208,5287.82
20220207,5299.08
20220204,5217.15
20220203,5288.85
20220202,5375.67
20220201,5378.2
20220131,5301.8
20220128,5227.37
20220127,5251.64
20220126,5274.23
20220125,5185.24
20220124,5126.62
20220121,5356.51
20220120,5525.13
20220119,5494.21
20220118,5507.2
20220114,5544.51
20220113,5591.06
20220112,5593.51
20220111,5561.7
20220110,5525.32
20220107,5609.58
20220106,5695.14
20220105,5695.14
20220104,5657.25
20220103,5595.78
20211231,5571.97
20211230,5571.97
20211229,5581.27
20211228,5605.85
20211227,5584.77
20211223,5534.49
20211222,5472.59
20211221,5427.53
20211220,5358.58
20211217,5435.88
20211216,5469.1
20211215,5405.13
20211214,5373.89
20211213,5430.45
20211210,5452.24
20211209,5478.05
20211208,5504.75
20211207,5519.71
20211206,5322.41
20211203,5322.41
20211202,5380.96
20211201,5429.48
20211130,5301.07
20211129,5362.79
20211126,5291.8
20211124,5483.84
20211123,5433.21
20211122,5511.53
20211119,5494.98
20211118,5502.23
20211117,5560.84
20211116,5537.07
20211115,5519.84
20211112,5519.53
20211111,5518.37
20211110,5470.27
20211109,5475.79
20211108,5514.07
20211105,5509
20211104,5499.34
20211103,5485.53
20211102,5409.66
20211101,5396.95
20211029,5388.56
20211028,5443.26
20211027,5492.79
20211026,5511.64
20211025,5491.69
20211022,5509.5
20211021,5448.38
20211020,5498.15
20211019,5473.18
20211018,5444.33
20211015,5468.32
20211014,5439.72
20211013,5377.42
20211012,5349.32
20211011,5350.62
20211008,5366.48
20211007,5352.59
20211006,5280.32
20211005,5347.45
20211004,5301.19
20211001,5342.23
20210930,5349.02
20210929,5332.34
20210928,5300.88
20210927,5445.06
20210924,5465.62
20210923,5554.42
20210922,5500.87
20210921,5404.69
20210920,5383.79
20210917,5489.72
20210916,5568
20210915,5573.26
20210914,5611.79
20210913,5644.49
20210910,5656.77
20210909,5684.11
20210908,5706.63
20210907,5786.9
20210903,5785.42
20210902,5750.7
20210901,5688.93
20210831,5669.94
20210830,5713.73
20210827,5707.76
20210826,5686.26
20210825,5689.82
20210824,5667.1
20210823,5656.1
20210820,5606.2
20210819,5579.85
20210818,5681.22
20210817,5668.68
20210816,5676.89
20210813,5720.09
20210812,5712.25
20210811,5712.83
20210810,5700.04
20210809,5684.56
20210806,5698.41
20210805,5689.58
20210804,5693.54
20210803,5664.42
20210802,5645.91
20210730,5626.26
20210729,5655.16
20210728,5610.48
20210727,5625.49
20210726,5679.27
20210723,5661.2
20210722,5583.72
20210721,5546.64
20210720,5475.58
20210719,5398.14
20210716,5510.55
20210715,5515.47
20210714,5549.11
20210713,5528.07
20210712,5487.47
20210709,5443.41
20210708,5383.32
20210707,5443.7
20210706,5402.72
20210702,5434.42
20210701,5363.25
20210630,5331.77
20210629,5370.66
20210628,5352.53
20210625,5340.45
20210624,5340.45
20210623,5285.46
20210622,5328.1
20210621,5299.67
20210618,5274.14
20210617,5319.65
20210616,5360.12
20210615,5354.23
20210614,5375.73
20210611,5344.66
20210610,5301.91
20210609,5325.61
20210608,5326.3
20210607,5316.73
20210604,5316.11
20210603,5304.51
20210602,5281.3
20210601,5220.24
20210528,5157.91
20210527,5177.06
20210526,5157.93
20210525,5176.33
20210524,5176.35
20210521,5188.54
20210520,5152.5
20210519,5139.6
20210518,5213.32
20210517,5160.72
20210514,5156.01
20210513,5103.39
20210512,5103.39
20210511,5104.07
20210510,5202.31
20210507,5220.16
20210506,5153.36
20210505,5168.09
20210504,5071.91
20210503,5139.41
20210430,5119.75
20210429,5131.18
20210428,5127.27
20210427,5162.09
20210426,5183.79
20210423,5151.41
20210422,5118.96
20210421,5058.78
20210420,5049.23
20210419,5127.73
20210416,5117.29
20210415,5037.14
20210414,5003.87
20210413,5010.06
20210412,4985.69
20210409,5022.17
20210408,5002
20210407,4995.12
20210406,4977.3
20210405,4966.76
20210401,4966.76
20210331,4930.97
20210330,5003.72
20210329,4990.01
20210326,4983.59
20210325,4941.77
20210324,4924.67
20210323,4897.64
20210322,4911
20210319,4902.19
20210318,4902.2
20210317,4910.64
20210316,4955.86
20210315,4954.81
