#Digilent WaveForms Network Analyzer - Bode
#Device Name: FYSE301_1
#Serial Number: SN:210321A1AD23
#Date Time: 2023-10-03 09:52:50.356
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 501
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.45574 V
#Offset: 0.000284467 V
#Relative: no
#Channel: Channel 2
#Range: 5.50406 V
#Offset: 0.000217557 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
100,-0.01564356360761626,-57.15058295183891,55.47247155655361
101.8591388054117,-0.0157448870545313,-57.21385719576712,56.04149586816987
103.7528415818013,-0.01559454767968697,-57.04767732492574,57.14321820448995
105.6817509213658,-0.01558633590629438,-56.89267282510416,57.62642784334332
107.6465213629835,-0.01563129225756523,-56.79373182607419,58.11374352122533
109.6478196143185,-0.01585601492883296,-56.61499045373277,58.5797252823329
111.6863247780561,-0.01561001304941563,-56.60256715298889,58.64029195960433
113.7627285823431,-0.01564941177427841,-56.38958678256712,59.50265029669754
115.8777356155126,-0.01535475653088745,-56.3216491108431,59.72382841301112
118.032063565173,-0.01554319362560256,-56.24621769790819,60.62154478711739
120.2264434617413,-0.01556602009869601,-56.03475257215202,60.84214655454144
122.4616199265049,-0.01555478347527708,-55.85874835491283,61.73098964777449
124.7383514242943,-0.0155264421289842,-55.7944312488329,61.46064621078351
127.0574105208542,-0.01539513864240635,-55.61965181772611,62.07814514325651
129.4195841449986,-0.01578985086106127,-55.58218539902211,61.90748294535969
131.8256738556407,-0.01578419131073263,-55.41840159747889,62.99428461978483
134.2764961137864,-0.01571034162897784,-55.26772709624407,63.15395118419251
136.7728825595849,-0.01544430212709993,-55.19406101968584,64.05416625237478
139.3156802945304,-0.01542387330184306,-55.13794452121289,63.25805252175641
141.9057521689093,-0.01534416390646955,-54.84758930225128,64.8632960909646
144.5439770745928,-0.01564013407765697,-54.78628670988002,64.90623319392421
147.2312502432719,-0.0154008719578973,-54.62080922775442,65.19312251341945
149.9684835502374,-0.0155115604633471,-54.43067819379556,65.94210600847026
152.7566058238073,-0.01542447188765837,-54.42506352052247,66.72384463481416
155.5965631605075,-0.01560442947452188,-54.21322174368137,65.94522296038645
158.4893192461114,-0.0155425159815675,-54.06960789418985,67.22256579788869
161.4358556826487,-0.01525120882813811,-53.93523115251636,67.75845256537458
164.4371723214932,-0.01548515253228653,-53.77991795662454,67.68574542832627
167.4942876026438,-0.01545035071642304,-53.68679043473445,67.54431757482401
170.6082389003124,-0.01539629000662141,-53.70076063869782,68.83817932821211
173.7800828749376,-0.01535682679118432,-53.49474643503306,69.04056287747045
177.0108958317422,-0.01548306958188571,-53.26467910308366,69.01931087943021
180.301774085957,-0.01559402800854329,-53.15977166275286,69.37930021688648
183.6538343348347,-0.01530663708848146,-53.00471966321378,69.50405367323711
187.0682140365801,-0.01548926190281329,-52.851228912096,70.1005890337245
190.5460717963248,-0.01566140897918779,-52.6514203925318,70.5511119165372
194.0885877592777,-0.01524611061394481,-52.61586462013994,70.43765564958846
197.696964011186,-0.0155965280675936,-52.4967590063309,71.74992366455551
201.3724249862388,-0.01561317421053411,-52.20238609584064,71.8749792652923
205.1162178825565,-0.01530282535702479,-52.15202808578739,71.617727505483
208.9296130854039,-0.01561406619373496,-51.99022392088277,71.79732005489939
212.8139045982711,-0.01538429178023342,-51.88468241774125,72.51087766119804
216.7704104819694,-0.01541462878294881,-51.68636366037199,72.6503430569504
220.8004733018899,-0.0155678521397998,-51.5648312907431,73.06016954205069
224.905460583578,-0.01546858653668333,-51.46189865583403,73.08585657003857
229.0867652767772,-0.01601618325532785,-51.25517397690569,73.52641693246281
233.3458062281002,-0.01554031145351055,-51.06657719703022,73.70648735950658
237.6840286624876,-0.01586895167181656,-50.9250012626626,73.94986617022408
242.1029046736178,-0.01533136258798038,-50.80590936618907,74.31066787244688
246.6039337234339,-0.01511369211620862,-50.65627165760924,74.3033002160994
251.1886431509579,-0.01568197354341914,-50.52587543743816,74.96475214035327
255.8585886905645,-0.01566309008714351,-50.37105081910531,75.2565529507407
260.6153549998895,-0.01565363101521152,-50.23735725315032,75.39375064960358
265.4605561975539,-0.01571028455085999,-50.10996962246587,75.74614952778484
270.3958364108843,-0.01549960635342957,-49.94044007049459,75.95224204097407
275.4228703338166,-0.01580038974182595,-49.77657992916549,76.35164128712769
280.5433637951713,-0.01542807597510645,-49.56626298974385,76.2378385060192
285.7590543374947,-0.01552815601910259,-49.44954710370325,76.68431650596119
291.0717118066605,-0.01530933218817519,-49.32154412653037,76.91211953357939
296.4831389524343,-0.01539888071892869,-49.20196143760016,76.9824520341586
301.9951720402016,-0.01537003335358719,-48.99372682448227,77.27263729830585
307.6096814740708,-0.0156267967379323,-48.82460230728428,77.69223404573103
313.3285724315585,-0.01566671706593403,-48.67541280222332,77.51483813205098
319.1537855100761,-0.01541914213062835,-48.54667332198641,78.10095540182488
325.0872973854343,-0.01526633497547734,-48.41486286045399,78.21976810873832
331.1311214825911,-0.01559387590653531,-48.24313828135071,78.40603707672864
337.2873086588689,-0.01511620082032541,-48.08256857511478,78.49436022677924
343.5579478998746,-0.01530445392822403,-47.90474343342289,78.75852103942624
349.9451670283573,-0.01568848837443954,-47.78776474228308,78.82936967760254
356.4511334262443,-0.01513240867609676,-47.64318843495002,78.94086070597875
363.0780547701014,-0.0153685156409861,-47.50848542659169,79.28844118228463
369.8281797802662,-0.01526069884584211,-47.32170666526709,79.3803387425852
376.7037989839089,-0.01526681764876978,-47.17554999703206,79.89018121953387
383.7072454922788,-0.01558424901130251,-47.00289590099238,80.30098738596821
390.8408957924021,-0.01579220354592251,-46.84780796552669,80.0863921469538
398.1071705534973,-0.0158272466469036,-46.72912476586336,80.36351127527269
405.508535448384,-0.01512958775891317,-46.58193692043776,80.48875426980491
413.0475019901614,-0.01573778902863226,-46.41549432390335,80.37289539189644
420.7266283844442,-0.01576498568637692,-46.27232393976026,80.88020576374203
428.5485203974397,-0.01553007991667832,-46.11593281521746,80.82073907634275
436.5158322401661,-0.01507098119056517,-45.93470317400214,80.95451019465349
444.6312674691088,-0.01541571240236622,-45.77606752069981,81.14207986761285
452.8975799036209,-0.01532126955654128,-45.64089971658863,81.04997450300054
461.3175745603796,-0.0154230102099847,-45.48148306175506,81.85768809663341
469.8941086052156,-0.01561601545460656,-45.32165247454246,81.77343431713783
478.6300923226385,-0.01594772217650666,-45.18711073175723,81.71391381000126
487.528490103386,-0.01600487563733451,-45.02405033874901,81.78607437760049
496.5923214503358,-0.01566709575816688,-44.8432341322496,81.87487857937944
505.8246620031138,-0.01507179939678373,-44.71969142101728,82.06073656581616
515.2286445817562,-0.01519760063234903,-44.52297515281958,82.32727721278138
524.8074602497722,-0.01521982359220549,-44.38925772516995,82.51421899720216
534.5643593969713,-0.0155387866000554,-44.23858867175604,82.41916818669974
544.5026528424208,-0.01545106935261632,-44.07374226564247,82.49137398385075
554.6257129579104,-0.0149593890290057,-43.92045940782733,82.66312665737006
564.9369748123022,-0.01518167184382298,-43.76324457199413,82.71966289520817
575.4399373371566,-0.01548887311939092,-43.62567820663958,83.16360956890099
586.1381645140284,-0.01560889460928977,-43.44640687360751,82.99880614837986
597.0352865838366,-0.01545138528715491,-43.35499351815908,83.12040195198955
608.1350012787176,-0.01534852660100157,-43.14918091964753,83.25443883661237
619.4410750767811,-0.01555966642944229,-42.95237119804219,83.28249277346191
630.957344480193,-0.01531456626573695,-42.84877997406488,83.4559478832216
642.6877173170194,-0.01606830260681062,-42.6970861724833,83.66640071769982
654.6361740672747,-0.01531813451750452,-42.52493882391386,83.90319845353693
666.8067692136219,-0.01589651236707906,-42.36829975062224,83.76367824540424
679.2036326171843,-0.01544162418676142,-42.24277446099202,83.78679955236782
691.8309709189363,-0.01544191938525822,-42.06678820303154,83.9223722190673
704.6930689671467,-0.01540610743719957,-41.9132681612676,84.018515910769
717.7942912713615,-0.01576209307024674,-41.7694235253597,84.19582240050725
731.1390834834173,-0.01598358057235372,-41.64029617014567,84.36722958509816
744.7319739059889,-0.01488189617900146,-41.43530222068524,84.17954044634311
758.5775750291837,-0.01517398940442485,-41.28604548451009,84.37911891760794
772.6805850957021,-0.01582675676969653,-41.14674298070305,84.62550417703537
787.0457896950985,-0.01486861606108806,-40.94372438441141,84.53212047097321
801.678063387679,-0.01539390637766487,-40.83502063184941,84.72033611250583
816.5823713585922,-0.01587436676822855,-40.66750198513029,84.85307561171834
831.7637711026708,-0.015871206056785,-40.49888056806094,84.67288120006278
847.2274141405964,-0.01568389352736777,-40.36250910308758,84.82158987956774
862.9785477669701,-0.01561896720016439,-40.18877278544661,85.04129535430035
879.0225168308842,-0.01628554788594747,-40.02936622228472,85.0864188801169
895.3647655495937,-0.01606693902716417,-39.89454724675709,85.03860299523224
912.0108393559096,-0.01508349425898065,-39.72717232789335,85.20483615487751
928.9663867799362,-0.01584744845642762,-39.59396454484934,85.19729101819817
946.237161365793,-0.01490276597607475,-39.40573341826501,85.20802738105797
963.8290236239706,-0.0150897903471576,-39.25033580141594,85.29749186424532
981.7479430199844,-0.01582471792751341,-39.08823873880893,85.33891367888867
1000,-0.01561938301504607,-38.92668528563755,85.42346312272639
1018.591388054117,-0.01594211582511967,-38.76394691035372,85.54734367237853
1037.528415818013,-0.01575700259228545,-38.6265053485888,85.57679900789151
1056.817509213658,-0.01585659595280266,-38.45561499697765,85.65340585921467
1076.465213629835,-0.01535850231034105,-38.31115764865673,85.64103243563909
1096.478196143185,-0.01560110419777666,-38.16823534174053,85.7170236848315
1116.863247780561,-0.01563049083870885,-37.98173856147487,85.86822949457797
1137.627285823431,-0.0154817436963926,-37.84240801213497,85.90678606677753
1158.777356155126,-0.01544820356562338,-37.68204170312789,85.82568068775652
1180.32063565173,-0.01487575235504838,-37.5390408111848,85.86865411611198
1202.264434617413,-0.01535367768329623,-37.37996653748753,86.00564964951646
1224.616199265049,-0.01579550517883968,-37.23490352032952,86.07747763772684
1247.383514242943,-0.01553335452738718,-37.04445324444811,86.24944431470328
1270.574105208542,-0.01488330883127842,-36.89585184850529,86.02620196416784
1294.195841449986,-0.01540838247301717,-36.75663569559856,86.21350890173788
1318.256738556408,-0.01490636020843724,-36.56491325739132,86.10179711026319
1342.764961137864,-0.01543105578689232,-36.39962340558174,86.34022441236925
1367.728825595849,-0.01528285947279938,-36.24438589121341,86.15932339668548
1393.156802945304,-0.01564684514777085,-36.10225103903571,86.26972081655106
1419.057521689092,-0.01584577187694855,-35.93768465866645,86.41223606483589
1445.439770745928,-0.01503389927217186,-35.7627075505423,86.1901497437794
1472.312502432719,-0.01515956108198983,-35.61706425190137,86.42381479948301
1499.684835502374,-0.01559010026520397,-35.47690744804448,86.50854757662522
1527.566058238073,-0.01537618427731724,-35.30579928551419,86.47588817674094
1555.965631605075,-0.01557876514855791,-35.14037118568109,86.44145089092905
1584.893192461114,-0.01497833193463487,-34.9907763355091,86.50361846289772
1614.358556826487,-0.01578118019763344,-34.81981383524031,86.71376282727529
1644.371723214932,-0.0148091444499112,-34.66420568123922,86.51542588088125
1674.942876026438,-0.01495953245790232,-34.51033567894006,86.69501181264368
1706.082389003124,-0.01554302848130293,-34.34587797116318,86.59237532957894
1737.800828749376,-0.01526265138514795,-34.17904739092641,86.65671765006132
1770.108958317422,-0.01493188200999473,-34.02021925708097,86.72952412175455
1803.01774085957,-0.01465426700241802,-33.85106822771394,86.6911936950649
1836.538343348347,-0.0143148163297156,-33.68376448001806,86.6764041524503
1870.682140365802,-0.01442132323294813,-33.52546396520949,86.77625509703967
1905.460717963248,-0.01496035222200556,-33.36389224706096,86.76067667064437
1940.885877592779,-0.01601624452055529,-33.20644187001781,86.67963152324785
1976.969640111862,-0.01488691521603805,-33.03901043976582,86.78835198837115
2013.72424986239,-0.01550902776502492,-32.86814200425212,86.81560454652107
2051.162178825567,-0.01413679307725914,-32.731428601829,86.74613357460461
2089.296130854041,-0.01436445699209296,-32.55492123855689,86.79341084710137
2128.139045982713,-0.01469763561887996,-32.39390263176914,86.79891850625302
2167.704104819696,-0.0140741740563483,-32.2334359726801,86.83319588155234
2208.004733018902,-0.01508966320117034,-32.07276335383622,86.81770417499111
2249.054605835783,-0.01449091982869018,-31.91036358780888,86.80947022756834
2290.867652767774,-0.01472956361432876,-31.75614785064641,86.88975148742486
2333.458062281004,-0.01460749754103564,-31.59142627643496,86.79258689385347
2376.840286624876,-0.01467174444561917,-31.43042608054105,86.88661996413759
2421.029046736178,-0.0136658100251675,-31.26147303072388,86.80765353436621
2466.039337234339,-0.0141596203033736,-31.11486318515713,86.88630947538189
2511.886431509579,-0.01422727424128075,-30.95322126861833,86.77276780140909
2558.585886905645,-0.01303717854949089,-30.77847297981444,86.77136203228565
2606.153549998895,-0.01414992132953554,-30.62389236119867,86.77346932881356
2654.605561975539,-0.01442382698660931,-30.46543640005332,86.81207465621357
2703.958364108843,-0.01399575005645829,-30.30035769343092,86.78384593868304
2754.228703338166,-0.01330685831225633,-30.14854500307829,86.80786072690259
