#Digilent WaveForms Oscilloscope Acquisition
#Device Name: FYSE301_1
#Serial Number: SN:210321A1AD23
#Date Time: 2023-10-03 09:22:03.021
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 10 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.0003212500000000004,-0.003281396989398321,-0.005256675075632882
-0.00032,-0.002282420402145423,-0.005256675075632882
-0.0003187499999999996,-0.003281396989398624,-0.005256675075632882
-0.0003175000000000001,-0.003947381380900253,-0.005256675075632882
-0.0003162499999999997,-0.003281396989398321,-0.005256675075632882
-0.0003150000000000002,-0.003614389185149287,-0.004920733892076015
-0.0003137499999999998,-0.003947381380900253,-0.004584792708519147
-0.0003125000000000003,-0.002948404793647809,-0.004920733892075862
-0.0003112499999999999,-0.003281396989398321,-0.005256675075632882
-0.0003099999999999995,-0.00328139698939817,-0.004920733892076167
-0.00030875,-0.002948404793647355,-0.005256675075632882
-0.0003074999999999996,-0.002948404793647355,-0.004920733892076015
-0.0003062500000000001,-0.002948404793647355,-0.004920733892076015
-0.0003049999999999997,-0.002948404793647355,-0.005256675075632882
-0.0003037500000000002,-0.002948404793647355,-0.004920733892076015
-0.0003024999999999998,-0.002948404793647355,-0.004920733892076015
-0.0003012500000000003,-0.002948404793647355,-0.005592616259189443
-0.0002999999999999999,-0.002948404793647355,-0.005256675075632882
-0.0002987499999999995,-0.00394738138089995,-0.004920733892076015
-0.0002975,-0.003281396989398321,-0.004920733892076015
-0.0002962499999999996,-0.003281396989398321,-0.005256675075632729
-0.0002950000000000001,-0.003281396989398321,-0.004920733892076015
-0.0002937499999999997,-0.003281396989398321,-0.005256675075632882
-0.0002925000000000002,-0.003281396989398321,-0.005256675075632882
-0.0002912499999999998,-0.002948404793647355,-0.005256675075632882
-0.0002900000000000003,-0.002948404793647355,-0.005256675075632882
-0.0002887499999999999,-0.002948404793647355,-0.004920733892076015
-0.0002874999999999996,-0.003947381380899798,-0.004920733892076015
-0.00028625,-0.002948404793647355,-0.004920733892076015
-0.0002849999999999997,-0.002615412597896389,-0.004920733892076015
-0.0002837500000000001,-0.002948404793647355,-0.004584792708519147
-0.0002824999999999998,-0.002615412597896389,-0.005592616259189749
-0.0002812500000000002,-0.003281396989398018,-0.00492073389207632
-0.0002799999999999999,-0.002948404793647355,-0.005256675075632882
-0.0002787500000000004,-0.002948404793647355,-0.005592616259189596
-0.0002775,-0.001949428206394456,-0.005256675075632882
-0.0002762499999999996,-0.002282420402145725,-0.005256675075632729
-0.0002750000000000001,-0.002948404793647355,-0.004920733892076015
-0.0002737499999999997,-0.003281396989398321,-0.004920733892076015
-0.0002725000000000002,-0.003281396989398321,-0.004920733892076015
-0.0002712499999999998,-0.002948404793647355,-0.005256675075632882
-0.0002700000000000003,-0.002948404793647355,-0.005592616259189596
-0.0002687499999999999,-0.003614389185149287,-0.005256675075632882
-0.0002674999999999995,-0.002948404793647355,-0.004920733892076015
-0.00026625,-0.002948404793647355,-0.004920733892076015
-0.0002649999999999996,-0.002282420402145725,-0.004920733892076167
-0.0002637500000000001,-0.002948404793647355,-0.005256675075632882
-0.0002624999999999997,-0.002948404793647355,-0.004920733892076015
-0.0002612500000000002,-0.003281396989398321,-0.005256675075632882
-0.0002599999999999998,-0.003281396989398321,-0.005256675075632882
-0.0002587500000000003,-0.003281396989398321,-0.004584792708519452
-0.0002574999999999999,-0.003281396989398321,-0.004920733892076015
-0.0002562499999999995,-0.002948404793647203,-0.005256675075632729
-0.000255,-0.002615412597896389,-0.004920733892076015
-0.0002537499999999996,-0.00328139698939817,-0.004920733892076015
-0.0002525000000000001,-0.002948404793647355,-0.004920733892076015
-0.0002512499999999997,-0.002948404793647355,-0.004920733892076015
-0.0002500000000000002,-0.00328139698939817,-0.005256675075632729
-0.0002487499999999998,-0.002948404793647355,-0.005256675075632882
-0.0002475000000000003,-0.00328139698939817,-0.004920733892076167
-0.0002462499999999999,-0.002948404793647355,-0.004584792708519147
-0.0002449999999999996,-0.003281396989398018,-0.005256675075632729
-0.00024375,-0.002615412597896389,-0.004920733892076015
-0.0002424999999999997,-0.002615412597896389,-0.005256675075632882
-0.0002412500000000001,-0.002282420402145423,-0.004920733892076015
-0.0002399999999999998,-0.002282420402145423,-0.005256675075632882
-0.0002387500000000002,-0.003614389185148681,-0.005256675075632882
-0.0002374999999999999,-0.003614389185149287,-0.004920733892076015
-0.0002362500000000003,-0.003947381380900101,-0.005256675075632729
-0.000235,-0.003281396989398321,-0.004920733892076015
-0.0002337499999999996,-0.002615412597896691,-0.004920733892076015
-0.0002325000000000001,-0.003281396989398321,-0.004920733892076015
-0.0002312499999999997,-0.003947381380900253,-0.005592616259189749
-0.0002300000000000002,-0.003614389185149287,-0.005256675075632882
-0.0002287499999999998,-0.003281396989398321,-0.005592616259189749
-0.0002275000000000003,-0.002615412597896691,-0.005592616259189749
-0.0002262499999999999,-0.002282420402145423,-0.005256675075632882
-0.0002249999999999995,-0.002948404793647355,-0.005256675075632576
-0.00022375,-0.002948404793647355,-0.004584792708519147
-0.0002224999999999996,-0.002948404793647355,-0.004920733892076167
-0.0002212500000000001,-0.002948404793647355,-0.005256675075632882
-0.0002199999999999997,-0.002615412597896389,-0.005592616259189749
-0.0002187500000000002,-0.002282420402145423,-0.005256675075632882
-0.0002174999999999998,-0.002948404793647355,-0.004920733892076015
-0.0002162500000000003,-0.003947381380899798,-0.004920733892076015
-0.0002149999999999999,-0.003614389185149287,-0.004920733892076015
-0.0002137499999999995,-0.003614389185149287,-0.004920733892075862
-0.0002125,-0.003614389185149287,-0.004584792708519147
-0.0002112499999999996,-0.002948404793647355,-0.005256675075633034
-0.0002100000000000001,-0.002948404793647355,-0.005592616259189749
-0.0002087499999999997,-0.002948404793647355,-0.004920733892076015
-0.0002075000000000002,-0.003614389185149287,-0.004584792708519147
-0.0002062499999999998,-0.002948404793647355,-0.004920733892076015
-0.0002050000000000003,-0.002282420402145725,-0.005256675075632729
-0.0002037499999999999,-0.002615412597896389,-0.005256675075632882
-0.0002024999999999996,-0.002948404793647658,-0.0045847927085193
-0.00020125,-0.003614389185149287,-0.004920733892076015
-0.0001999999999999997,-0.003947381380900253,-0.005592616259189749
-0.0001987500000000001,-0.003281396989398321,-0.004920733892076015
-0.0001974999999999998,-0.003614389185149287,-0.004584792708519147
-0.0001962500000000002,-0.003281396989398472,-0.005256675075632576
-0.0001949999999999999,-0.003614389185149287,-0.004920733892076015
-0.0001937500000000003,-0.003614389185149287,-0.0045847927085193
-0.0001925,-0.003947381380900253,-0.005256675075632882
-0.0001912499999999996,-0.003947381380900101,-0.005256675075632729
-0.0001900000000000001,-0.003614389185149287,-0.004920733892076015
-0.0001887499999999997,-0.003281396989398321,-0.005256675075632882
-0.0001875000000000002,-0.003614389185149287,-0.005256675075632882
-0.0001862499999999998,-0.003281396989398321,-0.005256675075632882
-0.0001850000000000003,-0.003281396989398321,-0.005256675075632882
-0.0001837499999999999,-0.003947381380900253,-0.004920733892076015
-0.0001824999999999995,-0.003947381380900101,-0.005592616259189749
-0.00018125,-0.003614389185149287,-0.005592616259189749
-0.0001799999999999996,-0.003281396989398624,-0.004920733892076015
-0.0001787500000000001,-0.003947381380900253,-0.004920733892076015
-0.0001774999999999997,-0.003281396989398321,-0.004920733892076015
-0.0001762500000000002,-0.002948404793647355,-0.005256675075632882
-0.0001749999999999998,-0.003281396989398321,-0.005256675075632882
-0.0001737500000000003,-0.002615412597896691,-0.005256675075632882
-0.0001724999999999999,-0.003947381380900253,-0.005256675075632882
-0.0001712499999999995,-0.003947381380899798,-0.005256675075633034
-0.00017,-0.002948404793647355,-0.005592616259189749
-0.0001687499999999996,-0.003281396989398472,-0.005592616259189443
-0.0001675000000000001,-0.003614389185149287,-0.004920733892076015
-0.0001662499999999997,-0.002948404793647355,-0.004920733892076015
-0.0001650000000000002,-0.002615412597896389,-0.004920733892076015
-0.0001637499999999998,-0.003614389185149287,-0.005256675075632882
-0.0001625000000000003,-0.002948404793647658,-0.005256675075632882
-0.0001612499999999999,-0.003281396989398321,-0.005256675075632882
-0.0001599999999999996,-0.002948404793647506,-0.004920733892076015
-0.00015875,-0.003281396989398321,-0.004920733892076015
-0.0001574999999999997,-0.003281396989398321,-0.004920733892076015
-0.0001562500000000001,-0.003281396989398321,-0.004584792708519147
-0.0001549999999999998,-0.003947381380900253,-0.004584792708519147
-0.0001537500000000002,-0.003614389185149438,-0.004920733892075862
-0.0001524999999999999,-0.002948404793647355,-0.004584792708519147
-0.0001512500000000003,-0.00261541259789654,-0.004920733892075862
-0.00015,-0.003281396989398321,-0.005256675075632882
-0.0001487499999999996,-0.003614389185149287,-0.005256675075632729
-0.0001475000000000001,-0.003614389185149287,-0.004920733892076015
-0.0001462499999999997,-0.003614389185149287,-0.005592616259189749
-0.0001450000000000002,-0.003281396989398321,-0.005592616259189749
-0.0001437499999999998,-0.003281396989398321,-0.005256675075632882
-0.0001425000000000003,-0.00394738138089995,-0.005592616259189596
-0.0001412499999999999,-0.003614389185149287,-0.005256675075632882
-0.0001400000000000004,-0.003614389185149287,-0.005256675075632882
-0.00013875,-0.003614389185149287,-0.005256675075632882
-0.0001374999999999996,-0.003614389185149438,-0.005592616259189596
-0.0001362500000000001,-0.003947381380900253,-0.005256675075632882
-0.0001349999999999997,-0.003947381380900253,-0.005256675075632882
-0.0001337500000000002,-0.003614389185149287,-0.004920733892076015
-0.0001324999999999998,-0.002948404793647355,-0.005256675075632882
-0.0001312500000000003,-0.002948404793647355,-0.005256675075632882
-0.0001299999999999999,-0.003281396989398321,-0.005592616259189749
-0.0001287499999999995,-0.003614389185148832,-0.005592616259189291
-0.0001275,-0.002615412597896389,-0.004584792708519147
-0.0001262499999999996,-0.002282420402145725,-0.0045847927085193
-0.0001250000000000001,-0.002948404793647355,-0.004920733892076015
-0.0001237499999999997,-0.002948404793647355,-0.005256675075632882
-0.0001225000000000002,-0.003614389185149287,-0.004920733892076015
-0.0001212499999999998,-0.003947381380900253,-0.004920733892076015
-0.0001200000000000003,-0.003947381380900253,-0.004920733892076015
-0.0001187499999999999,-0.004280373576651219,-0.004920733892076015
-0.0001174999999999995,-0.003281396989398321,-0.00492073389207632
-0.00011625,-0.003281396989398321,-0.005592616259189749
-0.0001149999999999997,-0.003947381380900101,-0.005256675075632882
-0.0001137500000000001,-0.003614389185149287,-0.005256675075632882
-0.0001124999999999998,-0.003281396989398321,-0.005256675075632882
-0.0001112500000000002,-0.00394738138089995,-0.005592616259189596
-0.0001099999999999999,-0.003281396989398321,-0.005928557442746616
-0.0001087500000000003,-0.003281396989398321,-0.005256675075633187
-0.0001075,-0.003614389185149287,-0.005592616259189749
-0.0001062499999999996,-0.00328139698939817,-0.005592616259189901
-0.0001050000000000001,-0.002948404793647355,-0.005928557442746616
-0.0001037499999999997,-0.003281396989398321,-0.005592616259189749
-0.0001025000000000002,-0.003281396989398321,-0.005256675075632882
-0.0001012499999999998,-0.003281396989398321,-0.005256675075632882
-0.0001000000000000003,-0.003281396989398321,-0.005256675075632882
-9.874999999999988e-05,-0.003614389185149287,-0.005256675075632882
-9.750000000000036e-05,-0.003947381380900101,-0.005592616259189596
-9.624999999999998e-05,-0.003281396989398321,-0.005256675075632882
-9.49999999999996e-05,-0.003281396989398624,-0.005592616259189596
-9.375000000000008e-05,-0.003947381380900253,-0.005256675075632882
-9.24999999999997e-05,-0.003281396989398321,-0.004920733892076015
-9.125000000000019e-05,-0.003281396989398321,-0.004920733892076015
-8.99999999999998e-05,-0.003281396989398321,-0.005256675075632882
-8.875000000000029e-05,-0.003281396989398321,-0.004920733892076167
-8.74999999999999e-05,-0.003281396989398321,-0.005256675075632882
-8.624999999999952e-05,-0.002948404793647809,-0.004920733892076167
-8.500000000000001e-05,-0.003947381380900253,-0.005256675075632882
-8.374999999999962e-05,-0.003281396989398321,-0.005256675075632882
-8.250000000000011e-05,-0.003281396989398321,-0.005256675075632882
-8.124999999999973e-05,-0.003614389185149287,-0.005256675075632882
-8.000000000000021e-05,-0.003614389185149287,-0.005592616259189749
-7.874999999999983e-05,-0.003281396989398321,-0.005592616259189749
-7.750000000000031e-05,-0.003281396989398321,-0.005256675075633034
-7.624999999999993e-05,-0.003281396989398321,-0.004920733892076015
-7.499999999999955e-05,-0.003281396989398321,-0.005256675075632882
-7.375000000000003e-05,-0.003281396989398321,-0.005256675075632882
-7.249999999999965e-05,-0.002948404793647506,-0.005256675075632576
-7.125000000000013e-05,-0.003281396989398321,-0.004584792708519147
-6.999999999999975e-05,-0.002615412597896389,-0.004920733892076015
-6.875000000000023e-05,-0.002615412597896389,-0.004920733892076015
-6.749999999999985e-05,-0.002948404793647355,-0.004920733892076015
-6.625000000000034e-05,-0.002948404793647355,-0.0045847927085193
-6.499999999999995e-05,-0.003281396989398321,-0.004920733892076015
-6.374999999999957e-05,-0.003281396989398472,-0.004584792708519452
-6.250000000000006e-05,-0.003614389185149287,-0.005256675075632882
-6.124999999999967e-05,-0.003281396989398321,-0.005256675075632882
-6.000000000000016e-05,-0.003947381380900253,-0.005256675075632882
-5.874999999999977e-05,-0.002948404793647355,-0.005592616259189749
-5.750000000000026e-05,-0.00261541259789654,-0.005256675075633034
-5.624999999999988e-05,-0.003281396989398321,-0.004920733892076015
