Date (s),Itot (A)
8.91869e-14,5.510799399040643e-05
9.13792e-14,5.362126488210079e-05
9.36098e-14,5.322689590357593e-05
9.58826e-14,5.236378760245279e-05
9.81851e-14,5.19017257783419e-05
1.00513e-13,5.147400235614917e-05
1.02884e-13,5.123941329554635e-05
1.05299e-13,5.026581828052019e-05
1.07755e-13,4.987260891341605e-05
1.10259e-13,4.926059327108434e-05
1.12807e-13,4.900809852433913e-05
1.15392e-13,4.846755407260443e-05
1.18021e-13,4.787231138892381e-05
1.20692e-13,4.739377007888553e-05
1.23407e-13,4.705563469836343e-05
1.26169e-13,4.67274427181256e-05
1.28982e-13,4.628620273850528e-05
1.31843e-13,4.594620147362473e-05
1.34756e-13,4.564442026238202e-05
1.37723e-13,4.529117514836322e-05
1.40746e-13,4.499899067760366e-05
1.43824e-13,4.472052640126808e-05
1.46952e-13,4.446059690392345e-05
1.5014e-13,4.422078371045365e-05
1.53389e-13,4.399893944249004e-05
1.56696e-13,4.38013750315469e-05
1.60052e-13,4.555987182530437e-05
1.63468e-13,4.350006112386979e-05
1.66927e-13,4.336327713438207e-05
1.70452e-13,4.325237969915405e-05
1.74048e-13,4.374782862994605e-05
1.77709e-13,4.4395251428071e-05
1.81438e-13,4.300426510686142e-05
1.85237e-13,4.298725945287777e-05
1.89099e-13,4.299556066261801e-05
1.93023e-13,4.413553714793489e-05
1.97016e-13,4.30902368003758e-05
2.01077e-13,4.317696458054277e-05
2.05206e-13,4.329124803351989e-05
2.09404e-13,4.343316183834636e-05
2.13673e-13,4.619534644380218e-05
2.18016e-13,4.373800373371444e-05
2.22446e-13,4.493637578135446e-05
2.26938e-13,4.42304452904067e-05
2.31523e-13,4.504598401735793e-05
2.36196e-13,4.483340320881993e-05
2.40944e-13,4.518810449604521e-05
2.45785e-13,3.959466568273973e-05
2.50717e-13,4.595365113623788e-05
2.55735e-13,4.69495672764326e-05
2.60835e-13,4.680535933461424e-05
2.66025e-13,4.689196292716996e-05
2.71315e-13,4.845171237761409e-05
2.76692e-13,4.784423666470089e-05
2.82163e-13,4.945507312916865e-05
2.8772e-13,4.988677832674378e-05
2.93384e-13,5.207294874105613e-05
2.99143e-13,4.996252540148289e-05
3.05e-13,5.216911359820778e-05
3.10968e-13,5.304549548330268e-05
3.17043e-13,5.387984029384959e-05
3.23217e-13,5.584189439670485e-05
3.29453e-13,5.596056845910319e-05
3.35806e-13,5.675130393698262e-05
3.42286e-13,5.787632642166444e-05
3.48873e-13,5.905601065610487e-05
3.55557e-13,6.035212911441235e-05
3.62354e-13,6.133172035103632e-05
3.69276e-13,6.215001722715973e-05
3.76293e-13,6.391701702934838e-05
3.83447e-13,6.573842036277927e-05
3.90715e-13,6.72728363265253e-05
3.98103e-13,6.887390069935794e-05
4.05633e-13,7.054561603027301e-05
4.1327e-13,7.226767015850858e-05
4.21061e-13,7.352625503281168e-05
4.29012e-13,7.579211257375076e-05
4.37102e-13,7.77607080606704e-05
4.45361e-13,7.980684357202887e-05
4.53774e-13,8.186335596946492e-05
4.62325e-13,8.410622648678347e-05
4.71058e-13,8.606303306035458e-05
4.79993e-13,8.709279724571626e-05
4.89109e-13,9.117398187809366e-05
4.9844e-13,9.374979106609049e-05
5.07984e-13,9.667282416602174e-05
5.1772e-13,9.911546308710863e-05
5.27691e-13,9.942170370135773e-05
5.37884e-13,0.00010488300357173
5.48325e-13,0.0001079458966157442
5.59006e-13,0.0001111244625814574
5.69946e-13,0.0001121609366559692
5.81047e-13,0.0001177566698028461
5.92488e-13,0.0001211394997206891
6.04225e-13,0.0001225738290539877
6.16282e-13,0.0001283768528523721
6.28672e-13,0.0001321504599676998
