
16/12/2021 15:25:47
/home/radef/kimmo/ecorce_sim/mos_n_2_device
nmosfet
O_drain

Itot Drain as a function of Date Drain
Date (s),Itot (A/Î¼m)
0,4.631476002384646e-16
1e-15,4.691663413149295e-16
2e-15,4.561447087225305e-16
3.2e-15,4.697480789974805e-16
4.64e-15,4.577640184717293e-16
6.368e-15,4.664656076549351e-16
7.34098e-15,4.511419900501943e-16
8.22487e-15,4.705265276556168e-16
8.81658e-15,4.451158559421945e-16
9.21106e-15,4.811301003868679e-16
9.47404e-15,4.345877402012297e-16
9.64936e-15,5.267161198631082e-16
9.76624e-15,3.891944959655271e-16
9.88312e-15,5.37516809951023e-16
9.94156e-15,3.06950192513891e-16
1e-14,-0.001086261582689544
1.00701e-14,-4.124316649192139e-06
1.01188e-14,-0.0003980494116103834
1.01594e-14,5.483062887364592e-06
1.01932e-14,5.173618728846882e-07
1.02214e-14,1.205488232873584e-05
1.02449e-14,1.596112888247123e-05
1.02645e-14,1.924580909448301e-05
1.02824e-14,2.260560880384807e-05
1.03015e-14,2.656646158047082e-05
1.03214e-14,3.117000627744175e-05
1.03425e-14,2.493476193327014e-05
1.03646e-14,4.270673376085117e-05
1.03881e-14,4.986306888245685e-05
1.04129e-14,5.811214667612579e-05
1.04391e-14,6.759339638800502e-05
1.0467e-14,7.84560818616427e-05
1.04966e-14,9.085734121178352e-05
1.05281e-14,0.000104959047743229
1.05616e-14,0.0001209230922701021
1.05975e-14,0.0001389045333617738
1.06359e-14,0.0001590418092535222
1.06771e-14,0.0001814427607815589
1.07215e-14,0.0002016983248256368
1.07657e-14,0.0002310396311031745
1.081e-14,0.0002558172794457295
1.08542e-14,0.000280149761355246
1.09073e-14,0.000308556930769632
1.09709e-14,0.0003415846433559497
1.10431e-14,0.0003766281716411026
1.11221e-14,0.0004158204409204686
1.12088e-14,0.0004563296688742161
1.13037e-14,0.0004983887988977427
1.14076e-14,0.0005427950966839098
1.15211e-14,0.0004541907037160017
1.16449e-14,0.0006451339599275482
1.17799e-14,0.0006977358709891123
1.19043e-14,0.0007410662834092101
