
16/12/2021 15:24:33
/home/radef/kimmo/ecorce_sim/mos_n_2_device
nmosfet
Fe_source

Itot Drain as a function of Date Drain
Date (s),Itot (A/Î¼m)
1.90912e-13,5.614924097844813e-07
1.94832e-13,5.649843844817508e-07
1.98801e-13,5.672757249386044e-07
2.02821e-13,5.678388690795237e-07
2.06904e-13,5.680787035165675e-07
2.11045e-13,5.675666432700552e-07
2.15263e-13,5.659531104864962e-07
2.19547e-13,5.636649781892211e-07
2.23891e-13,5.6072024828404e-07
2.28317e-13,5.567235687805446e-07
2.32792e-13,5.530432839175749e-07
2.37343e-13,5.4845271631213e-07
2.4197e-13,5.434649275796851e-07
2.46663e-13,5.381439720867914e-07
2.51404e-13,5.327422516127356e-07
2.56213e-13,5.267139481557444e-07
2.61111e-13,5.206673580011152e-07
2.66099e-13,5.144313474374246e-07
2.71172e-13,5.069279403200263e-07
2.76304e-13,4.938235602915213e-07
2.81501e-13,4.958116534605703e-07
2.86781e-13,4.891592040016508e-07
2.9215e-13,4.825770762485458e-07
2.97606e-13,4.764423705940941e-07
3.03142e-13,4.698204227713412e-07
3.08746e-13,4.596409098092894e-07
3.14434e-13,4.575137221412878e-07
3.20198e-13,4.51662053266394e-07
3.26056e-13,4.459757005619182e-07
3.31986e-13,4.40496163816609e-07
3.38003e-13,4.352213552310822e-07
3.44115e-13,4.301559268747779e-07
3.50305e-13,4.260026741340938e-07
3.56572e-13,4.181251097594639e-07
3.62922e-13,4.270061076629402e-07
3.69356e-13,4.298126194904344e-07
3.75898e-13,4.280809417218856e-07
3.82528e-13,4.231041148729864e-07
3.89209e-13,4.264565024638696e-07
3.95975e-13,4.251154704432733e-07
4.02841e-13,4.211725545413328e-07
4.09789e-13,4.196156579690575e-07
4.16808e-13,4.228502433572106e-07
4.23913e-13,4.212727126185813e-07
4.31101e-13,4.181971528195696e-07
4.38403e-13,4.167662321085434e-07
4.45737e-13,4.14836360654155e-07
4.53102e-13,4.138056094608841e-07
4.60539e-13,4.126192736231101e-07
4.68016e-13,4.11317905984601e-07
4.75484e-13,4.109526114268475e-07
4.82973e-13,4.09996372097309e-07
4.9049e-13,4.095276448841551e-07
4.98014e-13,4.096318622411503e-07
5.05553e-13,4.089473161837827e-07
5.13106e-13,4.088884816530054e-07
5.20706e-13,4.089564924486502e-07
5.28356e-13,4.091528966219392e-07
5.36033e-13,4.094516530267243e-07
5.4375e-13,4.0983450412683e-07
5.51488e-13,4.103256678194492e-07
5.593e-13,4.109081468452569e-07
5.67188e-13,4.115942910323812e-07
