
16/12/2021 15:27:14
/home/radef/kimmo/ecorce_sim/mos_n_2_device
nmosfet
O_source

Itot Drain as a function of Date Drain
Date (s),Itot (A/Î¼m)
6.62624e-14,-2.847810677879853e-06
6.84847e-14,-2.773769345890543e-06
7.07565e-14,-2.70023554434887e-06
7.30762e-14,-2.627373017189264e-06
7.5401e-14,-2.556499663287299e-06
7.77469e-14,-2.486900472534623e-06
8.01352e-14,-2.414607156198626e-06
8.25565e-14,-2.36662317004425e-06
8.50176e-14,-2.282164168800286e-06
8.75296e-14,-2.227734986220482e-06
9.00875e-14,-2.150518213148579e-06
9.2692e-14,-2.08628680745095e-06
9.53324e-14,-2.023240310882457e-06
9.802e-14,-1.961133305469547e-06
1.00732e-13,-1.900557014689464e-06
1.03474e-13,-1.841200990272392e-06
1.06252e-13,-1.783122189286478e-06
1.09072e-13,-1.726183350916054e-06
1.11928e-13,-1.670519794028294e-06
1.14835e-13,-1.615850561547689e-06
1.17782e-13,-1.562278690899862e-06
1.20784e-13,-1.509713086893457e-06
1.23833e-13,-1.458294633265804e-06
1.2692e-13,-1.408175274246216e-06
1.30058e-13,-1.35909700763497e-06
1.33246e-13,-1.310780492602568e-06
1.365e-13,-1.264113300994611e-06
1.39801e-13,-1.218308009364188e-06
1.43148e-13,-1.173764705181101e-06
1.46538e-13,-1.130528043989875e-06
1.49959e-13,-1.088566839671859e-06
1.53419e-13,-1.047939280017042e-06
1.56947e-13,-1.003194855050839e-06
1.60511e-13,-9.696733407582477e-07
1.64136e-13,-9.327714925926554e-07
1.67834e-13,-8.995032345171752e-07
1.71594e-13,-8.612559100601846e-07
1.75434e-13,-8.323530857069198e-07
1.7932e-13,-7.964168281222975e-07
1.83248e-13,-7.630975611627893e-07
1.87238e-13,-7.324210722222357e-07
1.91298e-13,-6.999987436561486e-07
1.9544e-13,-6.721836713132548e-07
1.99636e-13,-6.445723841257434e-07
2.03891e-13,-6.180030221614093e-07
2.08223e-13,-5.895061999080687e-07
2.12597e-13,-5.678254445985963e-07
2.17044e-13,-5.441787199620779e-07
2.21572e-13,-5.213723523853905e-07
2.26171e-13,-4.994583573432116e-07
2.30863e-13,-4.783338587616823e-07
2.35593e-13,-4.581458569724642e-07
2.40406e-13,-4.38737431179741e-07
2.45296e-13,-4.201082324982763e-07
2.50261e-13,-4.0224151697323e-07
2.55325e-13,-3.853460269796581e-07
2.60482e-13,-3.685210520568809e-07
2.65709e-13,-3.526928670379093e-07
2.71022e-13,-3.375068944968354e-07
2.76436e-13,-3.229093765818486e-07
2.81938e-13,-3.080855504682225e-07
2.87504e-13,-2.956222407178253e-07
2.93183e-13,-2.826546616249739e-07
2.98948e-13,-2.704622378313354e-07
3.04821e-13,-2.586757355038138e-07
3.10816e-13,-2.473599751161513e-07
3.16942e-13,-2.364543623746574e-07
3.23183e-13,-2.296001898353742e-07
3.29509e-13,-2.160121745708123e-07
3.35926e-13,-2.065262031920085e-07
3.42469e-13,-1.97445004265592e-07
3.49084e-13,-1.888251212794228e-07
3.55799e-13,-1.79643166997166e-07
3.62651e-13,-1.712618771753628e-07
3.69625e-13,-1.624919682816791e-07
3.76719e-13,-1.553737513620072e-07
3.83942e-13,-1.48542658614704e-07
3.91298e-13,-1.42564720762264e-07
3.98788e-13,-1.385612231047339e-07
4.06353e-13,-1.281067488706719e-07
4.1404e-13,-1.23961807320841e-07
4.21856e-13,-1.187231267514068e-07
4.29734e-13,-1.11538643395782e-07
4.37757e-13,-1.06813788204558e-07
4.45898e-13,-1.020293617202008e-07
4.54128e-13,-9.819851741764816e-08
4.62485e-13,-9.19500791440495e-08
4.70956e-13,-8.807587215703669e-08
4.79481e-13,-8.422167892318937e-08
4.88144e-13,-7.923162227514756e-08
4.96866e-13,-9.076152036119313e-08
5.05716e-13,-8.688166706297954e-08
5.14576e-13,-8.378296016781279e-08
5.23527e-13,-8.059292410706716e-08
5.32552e-13,-7.751887826101768e-08
5.41577e-13,-7.457876665501478e-08
5.50603e-13,-7.176300428907818e-08
5.59621e-13,-6.934872800123313e-08
5.68643e-13,-6.650287130166389e-08
5.7767e-13,-6.575859298154946e-08
5.86767e-13,-6.15141732736938e-08
5.95918e-13,-5.914608498258937e-08
6.05124e-13,-5.579311225494445e-08
6.14407e-13,-5.446688947229467e-08
6.23667e-13,-5.564064636264462e-08
6.33048e-13,-5.01014899885987e-08
6.42534e-13,-4.802655485908413e-08
6.52095e-13,-4.310235945215518e-08
6.61736e-13,-4.37009473578821e-08
6.71494e-13,-4.171891792430348e-08
6.81354e-13,-4.030391176824839e-08
6.91329e-13,-3.643291739122309e-08
7.01368e-13,-3.47170785305268e-08
7.11508e-13,-3.392456217148925e-08
7.21792e-13,-3.058484345893515e-08
7.32224e-13,-2.863361813344556e-08
7.42781e-13,-2.668664402960534e-08
7.53492e-13,-2.511539896201954e-08
7.6432e-13,-2.219236715354246e-08
7.75265e-13,-2.023734129981644e-08
7.8634e-13,-1.841008386978726e-08
7.97543e-13,-1.627826471535116e-08
8.08885e-13,-1.433451358814967e-08
8.20392e-13,-1.237002212217722e-08
8.32049e-13,-8.925275650941202e-09
8.43881e-13,-8.426107323333868e-09
8.55887e-13,-1.546545446714163e-09
8.68091e-13,6.785488661431602e-10
8.80537e-13,6.212922983327806e-09
8.93182e-13,8.9323715026887e-09
9.06076e-13,1.640440723011168e-08
9.1919e-13,1.455466860482861e-08
9.32524e-13,1.832599273933185e-08
9.46119e-13,1.907998857527919e-08
9.59956e-13,2.175738458899248e-08
9.74035e-13,2.463479342236843e-08
9.88371e-13,2.581523388138112e-08
1.00297e-12,2.807877697311756e-08
1.0178e-12,3.04952204687512e-08
1.03292e-12,3.274407788636389e-08
1.04829e-12,3.516671710768894e-08
1.06394e-12,3.763298689012245e-08
1.07988e-12,4.014728546112921e-08
1.0961e-12,4.271582184177703e-08
1.11261e-12,4.9715074107767e-08
1.12942e-12,4.824769066748341e-08
1.14655e-12,5.09845585689061e-08
1.16403e-12,5.379834862639679e-08
1.18184e-12,5.669757474268375e-08
1.19995e-12,5.969056255370071e-08
1.21837e-12,6.234240768433124e-08
1.23714e-12,6.599306735589258e-08
1.25623e-12,6.795054773189554e-08
1.27567e-12,7.250095037507924e-08
1.29547e-12,7.594492722839138e-08
1.31564e-12,9.505906832427104e-08
1.33618e-12,6.424462109730322e-08
1.35721e-12,9.28770033201371e-08
1.37861e-12,9.658237001417787e-08
1.40042e-12,1.015670184686163e-07
1.42263e-12,1.17552193226694e-07
1.44527e-12,1.095094530844725e-07
1.4683e-12,1.160782329077074e-07
1.49173e-12,1.193633868620574e-07
1.51555e-12,1.246634856291218e-07
1.53984e-12,1.275637575446737e-07
1.56458e-12,1.2511488803817e-07
1.58978e-12,1.304307595316951e-07
1.61548e-12,2.629238120652598e-07
1.64169e-12,1.43175472691559e-07
1.66843e-12,1.495688082515187e-07
1.6957e-12,1.563537626383584e-07
1.72345e-12,1.635553218190473e-07
1.75174e-12,1.720103687888255e-07
1.78056e-12,1.7940631723489e-07
1.8099e-12,1.884331783184563e-07
1.83983e-12,1.987155478196751e-07
1.87036e-12,2.073311830472285e-07
1.90157e-12,2.495374131780215e-07
1.93335e-12,2.467173517515462e-07
1.9658e-12,2.588302201661257e-07
1.99894e-12,2.710494077351485e-07
2.03275e-12,2.834192767157323e-07
2.06725e-12,2.991608364875521e-07
2.10247e-12,3.14816925794793e-07
2.13853e-12,3.317515132975098e-07
2.17534e-12,3.502142439563293e-07
2.21291e-12,3.707513621259327e-07
2.25133e-12,3.921216407350836e-07
2.29062e-12,4.153455681898667e-07
2.33082e-12,4.405134294015558e-07
2.37211e-12,4.67961657899311e-07
2.41436e-12,4.871798048758673e-07
2.45766e-12,5.306466156811933e-07
2.50202e-12,5.659511541938457e-07
2.54768e-12,6.049503552558317e-07
2.59463e-12,6.425969494254764e-07
2.64288e-12,6.937045785021659e-07
2.69274e-12,7.44321239618721e-07
2.74427e-12,8.023694270807546e-07
2.79753e-12,8.654292213380004e-07
2.85232e-12,9.35013115632645e-07
2.90872e-12,1.04388631958471e-06
2.96696e-12,1.094817240767545e-06
3.027e-12,1.186640532006183e-06
3.08882e-12,1.288897328282752e-06
3.15268e-12,1.384711156558361e-06
3.21875e-12,1.519313606966039e-06
3.28698e-12,1.656864880147476e-06
3.36511e-12,1.819325432883333e-06
3.44394e-12,1.994865388746085e-06
3.52423e-12,2.19185442335451e-06
3.60595e-12,2.408487799277627e-06
3.68913e-12,2.634093401744742e-06
3.77474e-12,2.876454615595578e-06
3.86341e-12,3.316849949687374e-06
3.95569e-12,3.389369585530761e-06
4.05138e-12,3.747855851088732e-06
4.15095e-12,4.1025156325423e-06
4.25436e-12,4.511754744386532e-06
4.36171e-12,4.901066619502438e-06
4.47334e-12,5.12851109604034e-06
4.58873e-12,5.856789007986808e-06
4.7092e-12,6.388163827384106e-06
4.8354e-12,6.984655302273429e-06
4.94056e-12,7.532161116046823e-06
5.06677e-12,8.235236393010381e-06
5.20706e-12,8.744789271410144e-06
5.35837e-12,9.502771082580563e-06
5.51593e-12,1.017451909641243e-05
5.67467e-12,1.106955806464118e-05
5.84186e-12,1.189681125607212e-05
6.01426e-12,1.277648085847923e-05
6.16681e-12,1.348726260432805e-05
6.34986e-12,1.437473215347817e-05
6.53444e-12,1.526554202219617e-05
6.72852e-12,1.624930300934286e-05
6.92821e-12,1.717444009191905e-05
7.13505e-12,1.811722863200269e-05
7.34589e-12,1.907442791501107e-05
7.56144e-12,2.016286918694497e-05
7.77864e-12,2.121257974468187e-05
8.00223e-12,2.208813863591004e-05
8.19026e-12,2.284457584987833e-05
8.36811e-12,2.357790775030829e-05
8.58152e-12,2.439158815202673e-05
8.81818e-12,2.527791537038843e-05
9.05515e-12,2.619793907077321e-05
9.29228e-12,2.700762831647878e-05
9.53276e-12,2.774171742286699e-05
9.77478e-12,2.85855265941875e-05
1.00194e-11,2.932634610671927e-05
1.02648e-11,3.004001182433359e-05
1.05121e-11,3.073335685256953e-05
1.07607e-11,3.138265711577401e-05
1.10085e-11,3.201040189312711e-05
1.12572e-11,3.260761609288985e-05
1.15064e-11,3.315620405520981e-05
1.17556e-11,3.371240122273607e-05
1.20058e-11,3.421552287172066e-05
1.22564e-11,3.4683138469993e-05
1.25072e-11,3.51183602116674e-05
1.27576e-11,3.54552841404466e-05
1.30068e-11,3.590364258150173e-05
1.32568e-11,3.623359394860419e-05
1.35073e-11,3.653081204317393e-05
1.37577e-11,3.679695860799968e-05
1.40086e-11,3.70594182056031e-05
1.42382e-11,3.725128099234988e-05
1.44935e-11,3.743218771605908e-05
1.47543e-11,3.759429372447913e-05
1.50187e-11,3.772986287748771e-05
1.52866e-11,3.783764860474451e-05
1.5558e-11,3.791102424062215e-05
1.58084e-11,3.795607540067121e-05
1.60562e-11,3.797447774763974e-05
1.6303e-11,3.796479166826402e-05
1.65838e-11,3.792424673466064e-05
1.68699e-11,3.785215897370781e-05
1.71588e-11,3.771551840189852e-05
1.74504e-11,3.772141726918044e-05
1.76935e-11,3.759078902653837e-05
1.79852e-11,3.735767826132559e-05
1.82859e-11,3.710287638168232e-05
1.85895e-11,3.663433950957166e-05
1.88953e-11,3.640172733460054e-05
1.92031e-11,3.616040547679081e-05
1.95128e-11,3.585741576941316e-05
1.98244e-11,3.551343021007154e-05
2.01379e-11,3.513709842469363e-05
2.04534e-11,3.473184426960692e-05
2.07712e-11,3.43039637760427e-05
2.10902e-11,3.385334678331908e-05
2.141e-11,3.338146756604039e-05
2.17306e-11,3.288930001054296e-05
2.20525e-11,3.237929652668694e-05
2.23752e-11,3.185100473548036e-05
2.26993e-11,3.13085127728868e-05
2.30237e-11,3.075119876611424e-05
2.33495e-11,3.017812827082902e-05
2.3674e-11,2.959643292493852e-05
2.39985e-11,2.900455161040631e-05
2.43243e-11,2.840297147062113e-05
2.46496e-11,2.779510525140212e-05
2.49745e-11,2.718095133473628e-05
2.52995e-11,2.65609456690832e-05
2.56247e-11,2.593558337186573e-05
2.59495e-11,2.530733505218713e-05
2.62735e-11,2.467744507080634e-05
2.65969e-11,2.404689787262346e-05
2.69197e-11,2.341605727088136e-05
2.71888e-11,2.28905019151776e-05
2.75066e-11,2.226983967235919e-05
2.78285e-11,2.164098931892216e-05
2.81493e-11,2.101880909604839e-05
2.84409e-11,2.045601763726411e-05
2.87566e-11,1.984843458829092e-05
2.9073e-11,1.92426286961394e-05
2.9388e-11,1.86441199259598e-05
2.97016e-11,1.805325277689927e-05
3.00137e-11,1.747043957332198e-05
3.03238e-11,1.689750221640773e-05
3.06315e-11,1.633519577999562e-05
3.0937e-11,1.578351563143893e-05
3.12404e-11,1.524251065503907e-05
3.15419e-11,1.471208351826361e-05
3.18418e-11,1.419208257264116e-05
3.21394e-11,1.368386999547218e-05
3.24344e-11,1.318816746062628e-05
3.27269e-11,1.270348620836035e-05
3.30173e-11,1.223243020301948e-05
3.3306e-11,1.177201698539542e-05
3.3592e-11,1.132367182827425e-05
3.38752e-11,1.088910382997794e-05
3.4156e-11,1.046667139965965e-05
3.44345e-11,1.005609529062621e-05
3.47105e-11,9.657772795295407e-06
3.49835e-11,9.272397058990406e-06
3.52536e-11,8.899400261856998e-06
3.55212e-11,8.538181058432744e-06
3.57856e-11,8.189431158659676e-06
3.60467e-11,7.853251238252427e-06
3.63046e-11,7.528991644055215e-06
3.65593e-11,7.216693827070833e-06
3.681e-11,6.916730058559531e-06
3.7057e-11,6.628485856491535e-06
3.73e-11,6.35206797231344e-06
3.75386e-11,6.087451320609116e-06
3.7773e-11,5.833894685328335e-06
