
16/12/2021 15:23:40
/home/radef/kimmo/ecorce_sim/mos_n_2_device
nmosfet
Fe_gate

Itot Drain as a function of Date Drain
Date (s),Itot (A/Î¼m)
0,4.63147533378638e-16
1e-15,4.7332497308046e-16
2e-15,4.513407041677355e-16
3.2e-15,4.667478766575939e-16
4.64e-15,4.609541002471025e-16
6.368e-15,4.669167244501524e-16
7.38757e-15,4.562468942941047e-16
8.13987e-15,4.742424493478272e-16
8.75991e-15,4.486476000261533e-16
9.17328e-15,4.850384782915543e-16
9.44885e-15,4.339655679964202e-16
9.63257e-15,5.011811549508686e-16
9.75504e-15,4.001714701738775e-16
9.87752e-15,5.117111323613827e-16
9.93876e-15,3.566984020341761e-16
1e-14,-0.0004590979821498112
1.00354e-14,5.263680531786988e-08
1.00525e-14,1.040855653166207e-07
1.00668e-14,1.722954843884068e-07
1.00786e-14,2.500641224610197e-07
1.00886e-14,3.323081020504e-07
1.00986e-14,4.329049742688575e-07
1.01086e-14,5.533661759705708e-07
1.01186e-14,6.95098531717892e-07
1.01286e-14,8.593999354390768e-07
1.01386e-14,1.047455483322871e-06
1.01486e-14,1.260334130622471e-06
1.01586e-14,1.49898603227825e-06
1.01687e-14,1.764976175806344e-06
1.01793e-14,2.077730865901837e-06
1.01905e-14,2.443287352309662e-06
1.02024e-14,2.870010137722137e-06
1.02149e-14,3.367202778968416e-06
1.02282e-14,3.945314161341623e-06
1.02423e-14,4.615976867534404e-06
1.02572e-14,5.392034097029107e-06
1.02731e-14,6.287530885095111e-06
1.02896e-14,7.295442915431388e-06
1.03069e-14,8.428277130822689e-06
1.03249e-14,9.696937071935979e-06
1.03438e-14,1.111248836912481e-05
1.03636e-14,1.268576468690006e-05
1.03844e-14,1.442714356660141e-05
1.04062e-14,1.634628163466806e-05
1.04292e-14,1.845183675580025e-05
1.04533e-14,2.075117866361277e-05
1.04788e-14,2.325009773027162e-05
1.05056e-14,2.595250737685744e-05
1.05339e-14,2.886014883548572e-05
1.05637e-14,3.197228822766259e-05
1.05953e-14,3.528539485166834e-05
1.06287e-14,3.879277931746874e-05
1.0664e-14,4.248415568296525e-05
1.07015e-14,4.634507214084064e-05
1.07413e-14,5.035612571283198e-05
1.07837e-14,5.449182184406997e-05
1.08208e-14,5.797569247558431e-05
1.0858e-14,6.296585383693661e-05
1.08951e-14,6.447332013720112e-05
1.09397e-14,6.808638274608145e-05
1.09932e-14,7.216237829055253e-05
1.10539e-14,7.649003931403879e-05
1.11189e-14,8.082530551629809e-05
1.11879e-14,8.51184431528237e-05
1.12577e-14,8.956840266957636e-05
1.13291e-14,9.312278061596265e-05
1.14027e-14,9.693646651814721e-05
1.14788e-14,0.000100661055181726
1.15576e-14,0.0001043158061923324
1.16396e-14,0.0001079154744811922
1.1725e-14,0.0001114715199789633
1.1814e-14,0.0001149929553918034
1.19071e-14,0.0001184866603056694
1.20044e-14,0.0001219581166473767
1.21063e-14,0.0001254115673870232
1.22138e-14,0.0001296929709438055
1.23273e-14,0.0001323523578751538
1.24475e-14,0.0001357494738318275
1.25748e-14,0.0001393655225302772
1.27096e-14,0.0001428986883341258
1.2852e-14,0.0001464393831849769
1.30025e-14,0.0001499906569652077
1.31617e-14,0.0001535480062815537
1.33297e-14,0.0001571038929410566
1.35068e-14,0.0001606537088457702
1.36937e-14,0.000164197456472148
1.38906e-14,0.0001677269382122668
1.40975e-14,0.0001712311256449258
1.43147e-14,0.0001747048080900901
1.45432e-14,0.0001782115591294036
1.47833e-14,0.0001815266182980359
1.50357e-14,0.0001849484150469252
1.53006e-14,0.0001882856042746708
1.55785e-14,0.0001915740946087141
1.58698e-14,0.0001948082424049686
1.61752e-14,0.0001979855050736251
1.64943e-14,0.000201739400319202
1.68277e-14,0.0002039099044263618
1.71756e-14,0.0002071697398932014
